"","TCGA.SS.A7HO.01A","TCGA.D5.6930.01A","TCGA.A6.2684.11A","TCGA.CK.5913.01A","TCGA.AA.3548.01A","TCGA.A6.2671.11A","TCGA.AA.3520.11A","TCGA.D5.5541.01A","TCGA.D5.6538.01A","TCGA.A6.A565.01A","TCGA.A6.2683.11A","TCGA.G4.6586.01A","TCGA.A6.2680.11A","TCGA.AA.3527.11A","TCGA.AA.3525.11A","TCGA.A6.2685.11A","TCGA.AG.3600.01A","TCGA.CI.6624.01C","TCGA.AF.2692.11A","TCGA.AF.2689.11A","TCGA.AG.3881.01A","TCGA.AF.2691.11A"
"hsa-miR-198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"hsa-miR-199a-5p",4681,14154,734,3941,8089,477,845,7903,1423,13417,785,3933,698,465,770,570,7565,13763,735,914,9793,389
"hsa-miR-199b-5p",4055,11093,343,3142,7787,230,490,6081,949,10246,366,3382,368,215,409,274,7348,10327,378,390,9120,177
"hsa-miR-19a-5p",867,94,0,106,58,0,0,183,176,475,0,140,0,0,0,0,76,273,0,0,232,0
"hsa-miR-19b-1-5p",1525,200,3,254,125,2,2,440,558,1097,1,312,1,0,3,1,157,739,1,2,400,1
"hsa-miR-19b-2-5p",1376,172,1,254,93,0,2,380,496,990,2,272,0,0,1,1,104,640,2,1,309,0
"hsa-miR-200a-5p",18408,6196,1939,7839,4529,749,1231,5785,12181,17902,1308,10870,589,987,1936,929,4030,11954,294,784,3265,396
"hsa-miR-200b-5p",13235,5830,1851,6165,2089,511,1254,6134,12655,17653,1137,6669,1048,1075,1651,855,1958,15474,257,816,3097,328
"hsa-miR-200c-5p",74099,20828,57492,90721,4884,21594,40221,54374,84711,75725,49971,43091,43748,30818,49930,26437,4929,103995,9875,21732,11772,13128
"hsa-miR-202-5p",1,4,0,0,0,0,0,0,1,4,1,3,0,0,0,0,0,2,0,3,0,3
"hsa-miR-203a-5p",57663,27231,1749,47582,50725,611,809,56525,92299,50003,1274,32128,323,823,1609,857,47898,40752,231,838,92424,405
"hsa-miR-203b-5p",1466,301,3,644,346,1,3,403,1387,729,6,756,2,4,6,2,150,469,1,7,480,3
"hsa-miR-204-5p",256,2,10,0,1,6,10,7,164,9,6,0,13,5,5,11,2,13,7,21,3,7
"hsa-miR-205-5p",77,0,27,0,1,5,14,0,5,1,15,1,7,0,20,10,0,2,4,10,0,11
"hsa-miR-2052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-2053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-2054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-206",7,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0
"hsa-miR-208a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-208b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-20a-5p",14143,1080,22,1417,266,16,15,2959,3539,3981,21,1477,7,10,37,11,323,4692,8,9,601,11
"hsa-miR-20b-5p",169,33,9,4,21,9,7,5,14,121,5,4,4,4,7,5,7,42,19,25,87,14
"hsa-miR-21-5p",432056,1404087,4525,1023992,123355,2354,2384,1447792,540110,1466556,3257,675283,1155,2013,6473,2845,189948,1427147,2612,3430,563238,2169
"hsa-miR-210-5p",2568,1262,1018,2228,4168,319,653,1353,750,4685,991,7633,329,284,673,371,952,4867,317,792,4822,390
"hsa-miR-211-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"hsa-miR-2110",15,7,30,12,0,9,11,9,9,16,18,15,41,34,20,10,1,12,23,22,0,22
"hsa-miR-2113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-2114-5p",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"hsa-miR-2115-5p",3,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,3,2,0,3,0
"hsa-miR-2116-5p",6,1,5,0,0,4,2,4,1,3,4,6,11,1,6,5,1,0,5,7,5,3
"hsa-miR-2117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-212-5p",30,38,5,30,1,6,2,23,18,97,7,45,8,3,6,5,5,52,4,2,13,6
"hsa-miR-214-5p",34,109,33,38,13,28,28,26,19,136,32,71,84,48,44,25,20,234,57,72,68,38
"hsa-miR-215-5p",930,1290,11,28014,957,25,15,2018,4544,13621,13,11379,227,40,36,9,2410,16862,3,10,1123,3
"hsa-miR-216a-5p",0,10,0,1,0,0,0,4,11,9,0,8,0,0,2,0,0,10,0,0,5,2
"hsa-miR-216b-5p",2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"hsa-miR-217",47,403,8,90,11,1,1,175,203,428,1,60,0,0,0,10,28,322,1,0,35,4
"hsa-miR-218-5p",29,154,5,24,24,5,3,99,35,165,4,46,8,2,7,0,15,138,5,2,87,1
"hsa-miR-219a-5p",48,9,16,15,1,8,8,20,18,21,20,14,7,9,22,10,7,10,1,2,1,3
"hsa-miR-219b-5p",6,0,2,1,0,0,0,1,3,4,0,0,0,0,0,0,0,1,0,0,3,0
"hsa-miR-22-5p",138781,316656,17531,160785,32630,8311,10842,171711,63149,428935,12357,195674,11814,12374,30980,10507,38899,288829,6772,12520,97812,5194
"hsa-miR-221-5p",1515,537,134,558,95,88,190,754,768,1444,253,3070,173,92,346,136,123,1412,93,204,147,110
"hsa-miR-222-5p",593,154,92,227,79,36,76,272,159,486,91,1271,86,33,113,58,90,517,54,99,89,60
"hsa-miR-223-5p",1181,1183,146,2232,76,23,51,327,133,3756,66,3130,32,38,98,29,314,2605,18,22,1475,13
"hsa-miR-224-5p",147,142,38,204,53,7,27,537,259,428,35,94,24,6,21,10,75,340,2,7,180,6
"hsa-miR-2276-5p",3,2,0,0,0,0,0,2,1,0,1,5,0,0,0,2,0,0,0,1,0,0
"hsa-miR-2277-5p",33,1,5,1,4,1,2,1,4,6,5,10,4,2,5,0,1,8,4,5,2,4
"hsa-miR-2278",1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0
"hsa-miR-2355-5p",342,88,3,74,19,0,3,205,48,276,2,67,3,1,1,2,37,160,1,4,178,0
"hsa-miR-2392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-23a-5p",9028,11862,1957,5344,5051,1258,1440,8578,7642,10083,1385,7471,1671,2111,1545,1358,5261,10599,1129,2108,9496,939
"hsa-miR-23b-5p",5669,4246,1775,1280,3572,1199,1366,2070,1729,3910,1454,1341,1222,1636,1240,1207,3098,4343,1479,2513,5171,1235
"hsa-miR-23c",1,1,1,0,0,0,0,1,0,1,0,0,2,4,0,0,0,0,0,3,2,0
"hsa-miR-24-1-5p",4592,2611,245,2819,967,111,178,3209,2541,4377,182,3586,396,397,248,130,1542,6096,132,251,4478,88
"hsa-miR-24-2-5p",4671,2764,205,2927,970,133,185,3289,2668,4522,158,3696,390,330,191,134,1570,6043,143,284,4559,117
"hsa-miR-2467-5p",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-25-5p",61859,29775,5590,39218,2548,2398,4207,46514,45511,77938,4696,33929,3548,2912,5573,3051,6664,40472,1704,4664,12596,2228
"hsa-miR-2681-5p",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-2682-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-26a-5p",6121,6094,503,3077,953,195,457,7336,3093,10924,484,7194,931,596,789,261,1304,15350,266,550,5141,217
"hsa-miR-26b-5p",3255,1137,116,1204,368,66,132,2146,1810,5709,135,3704,270,173,166,91,684,6915,93,168,2548,83
"hsa-miR-27a-5p",3298,5284,407,3191,939,207,293,2524,3539,6497,278,5393,671,470,380,193,2603,6005,196,427,5503,163
"hsa-miR-27b-5p",6470,4314,676,1996,1095,406,636,2089,2597,6992,519,2409,1818,1102,858,344,3608,7659,603,1409,6098,388
"hsa-miR-28-5p",31304,22972,14624,18033,4430,9543,9149,19565,15592,46429,11439,19793,9780,9881,12416,7825,3634,35547,10153,16547,9923,7906
"hsa-miR-2861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-2909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-296-5p",7,5,18,5,4,20,33,12,3,8,21,2,41,44,49,15,6,14,39,62,29,26
"hsa-miR-297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-299-5p",12,18,6,13,1,3,1,5,6,38,2,3,14,10,7,3,3,23,3,7,8,1
"hsa-miR-29a-5p",20237,21568,4995,28568,4607,1846,3873,39611,38860,61177,4381,61279,9643,5219,8428,2432,4636,49907,1662,5349,11618,1687
"hsa-miR-29b-1-5p",1822,707,15,1051,350,4,14,1235,1192,3507,17,2262,14,8,21,11,322,3091,11,18,804,5
"hsa-miR-29b-2-5p",1905,766,86,971,376,65,67,1208,1214,3666,64,2256,55,49,103,40,334,2993,91,115,894,68
"hsa-miR-29c-5p",1377,7687,159,1269,361,90,128,3346,1519,13338,139,4882,180,236,359,72,1149,6948,110,175,2527,70
"hsa-miR-300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-301a-5p",271,10,0,12,22,1,0,17,45,78,0,42,0,0,3,0,21,89,0,1,111,0
"hsa-miR-301b-5p",87,1,0,4,2,1,0,5,18,7,0,7,0,0,0,0,4,28,0,0,8,0
"hsa-miR-302a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-302b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-302c-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-302d-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-302e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-302f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3064-5p",5,0,0,1,0,0,1,1,1,3,0,0,0,0,0,0,0,1,1,1,1,1
"hsa-miR-3065-5p",84,21,7,37,13,4,3,75,7,64,10,57,5,3,7,2,8,106,3,1,7,2
"hsa-miR-3074-5p",15,35,41,8,7,18,27,33,10,31,19,14,71,21,35,12,5,24,14,30,22,16
"hsa-miR-30a-5p",20175,27614,4338,7827,5092,3248,3989,16256,13541,57341,3701,6101,7605,4604,3834,2437,4123,37638,3280,5568,18840,2468
"hsa-miR-30b-5p",1540,529,67,831,217,19,33,779,1047,3170,18,1366,96,37,59,15,309,3189,23,112,1317,29
"hsa-miR-30c-5p",2446,725,833,562,687,320,465,578,997,3705,440,1010,783,499,600,300,333,3339,527,1129,1229,379
"hsa-miR-30d-5p",37102,13897,13323,25037,7086,6765,8439,24736,43939,27186,13163,10999,9124,8062,12336,8681,3594,47814,9552,11469,12487,6301
"hsa-miR-30e-5p",46819,22212,3105,14341,14015,1612,2255,33010,28157,45618,1992,27663,2576,3277,2536,1588,15457,44074,1527,3230,23537,1505
"hsa-miR-31-5p",176,39,1,17,22,0,0,6,26,79,0,50,49,0,0,1,27,156,0,0,53,0
"hsa-miR-3115",2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0
"hsa-miR-3116",3,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"hsa-miR-3117-5p",0,2,0,0,0,0,0,1,1,3,0,3,0,0,0,0,0,6,0,0,1,0
"hsa-miR-3118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3120-5p",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"hsa-miR-3121-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
"hsa-miR-3122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3124-5p",0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0
"hsa-miR-3125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3126-5p",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0
"hsa-miR-3127-5p",79,20,76,53,3,46,66,54,81,55,82,24,34,57,80,51,6,62,20,37,4,37
"hsa-miR-3128",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3129-5p",0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,5,2,0
"hsa-miR-3130-5p",37,12,8,5,12,10,18,79,80,11,15,41,44,19,23,16,20,22,9,7,6,9
"hsa-miR-3131",3,9,0,19,2,2,8,1,13,2,19,10,0,20,8,1,7,13,2,9,10,5
"hsa-miR-3132",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1
"hsa-miR-3133",1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3135a",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3135b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3136-5p",8,1,1,1,2,0,0,3,1,3,1,3,0,0,0,0,3,3,0,0,4,0
"hsa-miR-3137",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"hsa-miR-3138",3,1,0,1,0,0,1,0,0,1,3,1,5,2,0,1,0,0,1,2,0,1
"hsa-miR-3139",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3140-5p",1,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"hsa-miR-3141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3143",1,0,0,1,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0
"hsa-miR-3144-5p",15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
"hsa-miR-3145-5p",7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"hsa-miR-3146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3150a-5p",1,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,1,1,1,2,0
"hsa-miR-3150b-5p",1,3,56,12,0,19,40,1,65,10,21,5,12,44,37,7,6,6,5,17,2,3
"hsa-miR-3151-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"hsa-miR-3152-5p",0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
"hsa-miR-3153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3154",3,0,1,0,0,3,0,0,0,0,2,0,1,0,1,1,0,3,2,4,0,1
"hsa-miR-3155a",4,1,0,0,0,1,1,2,3,0,0,0,3,0,0,0,2,1,0,0,0,2
"hsa-miR-3155b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3156-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3157-5p",4,0,0,0,0,0,2,0,0,0,0,2,8,0,1,0,0,2,1,3,0,0
"hsa-miR-3158-5p",8,3,0,4,0,0,2,2,5,2,3,3,5,1,1,2,0,1,3,1,0,0
"hsa-miR-3159",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-3160-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3161",0,0,0,0,3,0,0,0,7,0,1,6,0,0,2,1,0,0,0,0,3,2
"hsa-miR-3162-5p",0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"hsa-miR-3163",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3164",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"hsa-miR-3165",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"hsa-miR-3168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3170",44,4,5,9,2,1,5,10,6,1,3,3,0,1,3,0,0,10,0,3,5,2
"hsa-miR-3171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3173-5p",7,4,8,2,1,8,4,0,3,2,7,4,11,5,19,5,0,4,4,14,0,6
"hsa-miR-3174",0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0
"hsa-miR-3175",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"hsa-miR-3176",1,2,0,1,0,0,0,0,1,0,0,3,0,1,0,0,3,0,0,0,0,0
"hsa-miR-3177-5p",2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0
"hsa-miR-3178",0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-3179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-3180-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3181",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3182",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"hsa-miR-3183",0,0,0,1,0,3,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0
"hsa-miR-3184-5p",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3185",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3186-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3187-5p",0,1,0,1,0,0,0,2,1,0,1,9,1,0,2,1,0,3,0,0,1,1
"hsa-miR-3188",0,0,1,1,0,2,0,3,0,1,3,0,5,1,0,0,1,1,1,2,2,1
"hsa-miR-3189-5p",5,0,0,2,0,0,0,7,0,3,0,12,0,0,0,0,1,1,0,0,1,0
"hsa-miR-3190-5p",2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0,1,0
"hsa-miR-3191-5p",2,1,0,1,0,1,4,1,0,2,0,0,0,1,1,0,0,0,1,2,0,0
"hsa-miR-3192-5p",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"hsa-miR-3193",12,1,2,2,0,2,0,3,11,1,1,1,1,2,0,3,1,0,0,0,0,0
"hsa-miR-3194-5p",6,2,0,0,1,0,0,0,2,0,0,0,1,0,2,0,0,8,0,0,2,1
"hsa-miR-3195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"hsa-miR-3196",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3197",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3198",4,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0
"hsa-miR-3199",4,2,1,1,0,1,2,2,3,3,3,3,4,3,2,1,0,2,4,0,0,1
"hsa-miR-32-5p",155,57,4,45,46,0,1,103,198,242,3,197,7,3,5,5,47,226,5,4,138,1
"hsa-miR-3200-5p",169,6,5,12,0,9,14,41,46,11,8,17,18,3,12,3,4,18,18,15,13,5
"hsa-miR-3201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3202",0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"hsa-miR-320a",3676,1700,1532,2062,41,727,1465,693,3177,6301,2139,2150,877,961,953,726,109,2799,701,911,321,637
"hsa-miR-320b",28,16,14,10,0,2,9,6,20,49,12,59,16,7,15,9,6,23,8,10,15,4
"hsa-miR-320c",0,7,5,1,0,3,4,3,4,9,10,4,1,2,7,1,0,1,3,5,1,6
"hsa-miR-320d",1,1,0,1,0,0,1,3,4,2,1,2,1,1,1,0,0,1,0,1,5,0
"hsa-miR-320e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
"hsa-miR-323a-5p",11,10,14,5,5,10,10,6,5,15,7,8,15,7,22,10,0,25,18,28,19,9
"hsa-miR-323b-5p",28,10,5,5,14,7,12,3,1,16,2,4,9,6,9,16,13,21,18,16,19,14
"hsa-miR-324-5p",337,114,170,114,21,109,132,102,105,189,198,190,196,121,255,103,40,264,133,198,100,109
"hsa-miR-325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-326",10,14,16,46,1,13,24,22,22,7,23,26,126,107,46,2,1,10,43,51,5,19
"hsa-miR-328-5p",176,45,301,18,35,668,407,35,72,38,591,40,678,754,462,373,13,92,2870,1155,17,1459
"hsa-miR-329-5p",1,2,0,0,1,0,0,1,0,6,3,2,0,2,0,2,1,1,0,2,1,2
"hsa-miR-330-5p",191,122,32,132,6,35,46,137,84,139,57,238,51,66,66,31,19,148,29,22,18,30
"hsa-miR-331-5p",110,78,70,42,15,51,50,44,66,68,83,91,134,71,93,33,103,84,84,109,141,60
"hsa-miR-335-5p",1482,285,14,375,533,3,9,2011,1963,412,9,410,5,5,17,5,189,1376,3,3,263,6
"hsa-miR-337-5p",72,77,7,55,29,2,6,56,55,106,0,56,1,2,10,3,38,187,5,7,47,7
"hsa-miR-338-5p",4780,975,77,3718,167,49,101,395,252,3833,94,4467,277,38,81,46,679,5379,66,102,427,73
"hsa-miR-339-5p",255,81,164,21,17,79,148,94,153,299,126,135,252,123,287,58,43,346,94,292,97,79
"hsa-miR-33a-5p",239,39,7,80,27,1,6,82,106,102,18,219,6,10,19,7,288,309,4,11,426,3
"hsa-miR-33b-5p",8,5,2,15,7,0,1,4,12,11,1,96,0,1,2,0,25,27,0,2,37,0
"hsa-miR-340-5p",47,47,4,85,15,3,5,128,54,84,2,134,0,2,5,3,12,189,1,9,49,4
"hsa-miR-342-5p",199,233,373,111,97,121,214,320,39,2183,224,544,263,110,501,150,28,809,103,299,129,161
"hsa-miR-345-5p",78,27,27,32,30,10,12,41,70,59,11,163,70,22,63,8,17,68,11,28,52,9
"hsa-miR-346",0,0,5,0,0,1,3,0,0,0,0,0,3,0,1,2,0,4,4,11,0,1
"hsa-miR-34a-5p",176,410,21,277,79,12,47,301,376,727,22,606,37,43,59,7,120,598,5,25,207,8
"hsa-miR-34b-5p",1,5,0,0,0,0,1,3,0,4,0,2,0,0,0,0,0,4,0,0,1,2
"hsa-miR-34c-5p",2,20,4,18,1,3,5,13,5,23,0,7,5,4,3,2,2,42,0,3,9,5
"hsa-miR-3529-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3591-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3605-5p",7,1,8,3,15,23,10,2,16,6,15,6,32,24,17,11,6,4,28,54,9,20
"hsa-miR-3606-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3607-5p",370,71,38,17,180,7,39,33,43,120,28,451,105,209,18,9,396,615,6,32,241,12
"hsa-miR-3609",0,0,1,1,9,3,1,3,1,2,1,1,5,4,0,0,13,1,3,2,1,2
"hsa-miR-361-5p",2182,1304,626,282,115,444,779,1602,1704,2608,904,1018,775,591,1579,522,140,2842,402,890,470,360
"hsa-miR-3610",1,4,1,2,1,1,1,13,3,5,1,4,4,2,2,1,4,3,1,1,2,1
"hsa-miR-3611",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"hsa-miR-3612",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3613-5p",126,29,0,8,10,0,0,35,81,67,1,41,5,2,1,0,27,171,0,0,72,0
"hsa-miR-3614-5p",12,14,9,56,1,9,13,33,6,36,23,97,16,10,26,13,1,16,2,11,5,6
"hsa-miR-3615",88,11,50,9,3,23,43,7,11,30,76,26,35,42,53,52,5,24,15,31,3,16
"hsa-miR-3616-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3617-5p",5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3618",4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"hsa-miR-3619-5p",3,0,0,0,0,0,0,3,0,0,1,4,0,0,3,1,0,1,3,3,2,0
"hsa-miR-362-5p",186,30,37,35,14,12,34,102,175,179,9,38,13,8,55,7,32,195,5,13,28,7
"hsa-miR-3620-5p",4,0,1,0,0,0,3,0,0,0,4,0,2,4,2,0,0,1,0,2,1,3
"hsa-miR-3621",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3622a-5p",1,1,4,0,0,12,1,0,0,0,12,0,6,0,3,12,0,0,30,27,0,11
